Fecha_prueba|Matricula|Temp_Amb|Humr_Amb|Marca|Modelo|Cilindraje|Combustible|Kilometraje|Fecha_ITV|CDA|Temp_motor|RPM_motor|HC|CO|CO2|O2|RPM_Cru|HC_Cru|CO_Cru|CO2_Cru|O2_Cru
2021-09-05 00:00:00|7473 ZSP|18.3|47.0|MARCA 3|2004|999|GNV|468180.0|2020-12-09|EMPRESA F|74.0|905|140|0.19|12.1|1.1|2694|115|0.13|14.0|2.2
2021-09-13 00:00:00|5337 XXF|18.7|42.7|MARCA 5|2008|999|Gasolina|329940.0|2021-03-20|EMPRESA A|88.0|935|135|0.44|12.2|2.0|2624|58|0.35|11.1|1.1
2021-09-03 00:00:00|8313 QYF|19.1|43.2|MARCA 3|2005|1400|GNV_gasolina|475200.0|2020-12-20|EMPRESA F|82.0|832|105|0.13|12.1|1.3|2626|111|0.13|13.5|1.8
2021-09-28 00:00:00|3556 QXX|18.5|43.8|MARCA 2|2003|999|GNV|534600.0|2021-04-06|EMPRESA E|84.0|899|112|0.25|12.5|3.7|2300|53|0.19|14.2|2.7
2021-09-16 00:00:00|4449 HNO|21.6|49.1|MARCA 4|2017|1400|Gasolina|101520.0|2021-01-05|EMPRESA H|84.0|943|77|0.31|13.4|2.9|2407|70|0.5|10.7|1.8
2021-09-07 00:00:00|0577 TTS|21.9|50.1|MARCA 1|2019|1400|Gasolina|52920.0|2021-02-26|EMPRESA H|72.0|825|149|0.46|12.5|2.9|2560|143|0.2|15.0|3.0
2021-09-29 00:00:00|3261 XXS|19.9|51.4|MARCA 3|2005|1200|GNV|419040.0|2021-04-07|EMPRESA J|71.0|860|98|0.31|13.1|1.8|2553|56|0.43|10.2|3.1
2021-09-25 00:00:00|2341 OMF|21.7|43.9|MARCA 4|2008|1200|GNV_gasolina|326430.0|2021-01-28|EMPRESA B|76.0|936|136|0.23|11.8|1.2|2582|112|0.31|15.4|1.0
2021-09-21 00:00:00|7020 AYI|20.5|47.9|MARCA 3|2021|1200|Gasolina|10865.0|2021-04-07|EMPRESA B|84.0|813|92|0.33|14.2|2.5|2331|86|0.34|15.0|3.4
2021-09-18 00:00:00|2991 YPX|21.5|41.4|MARCA 2|2001|1200|Gasolina|545400.0|2021-01-24|EMPRESA B|71.0|906|56|0.11|11.1|2.2|2642|116|0.5|15.3|2.3
2021-09-22 00:00:00|9575 ZGG|19.8|46.7|MARCA 3|2017|999|GNV_gasolina|98280.0|2021-02-09|EMPRESA F|82.0|925|144|0.25|14.5|1.6|2556|125|0.39|10.5|1.0
2021-09-18 00:00:00|2255 BOQ|21.0|42.9|MARCA 3|2018|1400|Gasolina|74520.0|2020-11-25|EMPRESA J|73.0|846|123|0.33|14.0|1.2|2513|89|0.39|12.5|2.5
2021-09-11 00:00:00|1163 FZE|21.9|55.7|MARCA 4|2001|1200|GNV|577800.0|2021-01-20|EMPRESA C|74.0|938|55|0.27|14.5|1.8|2381|86|0.22|13.0|1.6
2021-09-28 00:00:00|5221 BDJ|21.2|50.4|MARCA 4|2018|1400|GNV|72900.0|2021-03-21|EMPRESA C|89.0|912|62|0.47|10.1|1.1|2672|73|0.36|15.4|1.2
2021-09-08 00:00:00|5679 CCW|18.9|49.8|MARCA 2|2018|1400|GNV_gasolina|88290.0|2021-01-23|EMPRESA E|90.0|842|67|0.44|15.0|3.1|2343|102|0.38|10.4|3.0
2021-09-12 00:00:00|5308 RNL|18.8|45.3|MARCA 5|2014|1200|Gasolina|206010.0|2020-11-25|EMPRESA C|74.0|900|144|0.21|10.2|2.3|2521|89|0.1|11.8|3.5
2021-09-28 00:00:00|6398 VTT|18.1|44.6|MARCA 5|2021|999|GNV|14284.0|2021-03-31|EMPRESA I|71.0|878|103|0.43|13.6|3.4|2603|121|0.18|12.4|3.6
2021-09-13 00:00:00|7131 VJM|22.1|45.4|MARCA 5|2011|1400|GNV|245700.0|2021-03-24|EMPRESA B|85.0|810|51|0.39|13.7|3.2|2480|76|0.24|13.9|3.7
2021-09-04 00:00:00|3434 AJT|18.0|45.5|MARCA 2|2002|1400|GNV_gasolina|461700.0|2021-02-26|EMPRESA I|76.0|886|120|0.34|13.8|1.5|2649|148|0.26|14.3|2.4
2021-09-16 00:00:00|6004 UOZ|19.9|45.5|MARCA 4|2002|1200|Gasolina|466830.0|2021-01-08|EMPRESA B|76.0|846|72|0.25|10.0|2.9|2376|53|0.11|12.9|1.0
2021-09-22 00:00:00|8975 TGD|21.3|46.3|MARCA 4|2016|1400|GNV|126900.0|2020-11-25|EMPRESA F|75.0|891|145|0.37|11.7|2.4|2306|53|0.14|13.3|2.6
2021-09-08 00:00:00|3309 VSF|19.1|45.8|MARCA 5|2004|1200|GNV|468180.0|2020-12-13|EMPRESA H|71.0|936|96|0.25|12.2|2.0|2677|97|0.15|11.5|2.8
2021-09-11 00:00:00|6553 VHF|19.2|44.1|MARCA 5|2008|999|GNV_gasolina|326430.0|2020-11-25|EMPRESA G|86.0|847|146|0.29|12.1|2.6|2507|116|0.15|13.2|2.0
2021-09-10 00:00:00|9134 MNZ|19.1|55.7|MARCA 5|2017|1400|GNV_gasolina|98280.0|2020-12-13|EMPRESA F|81.0|823|99|0.27|11.3|1.7|2653|81|0.4|13.7|1.3
2021-09-16 00:00:00|3123 QNG|21.9|50.0|MARCA 1|2010|999|GNV_gasolina|299970.0|2021-02-16|EMPRESA H|88.0|911|64|0.17|13.2|2.3|2685|114|0.34|10.4|2.9
